[22/10/20 18:15:54:058 GMT]  INFO util.Config: Initializing properties reader.
[22/10/20 18:15:54:063 GMT]  INFO util.Config: Loading dotCMS [dotmarketing-config.properties] Properties...
[22/10/20 18:15:54:123 GMT]  INFO util.Config: dotCMS Properties [dotmarketing-config.properties] Loaded
[22/10/20 18:15:54:176 GMT]  INFO util.Config: Loading dotCMS [dotcms-config-cluster.properties] Properties...
[22/10/20 18:15:54:176 GMT]  INFO util.Config: dotCMS Properties [dotcms-config-cluster.properties] Loaded
[22/10/20 18:15:54:178 GMT]  INFO util.Config: Assigned default refresh: 5 minutes.
[22/10/20 18:15:54:847 GMT]  INFO h22.H22Cache: Initing H22 cache db:0
[22/10/20 18:15:54:847 GMT]  INFO h22.H22Cache: Building new H22 Cache, db:0
[22/10/20 18:15:54:863 GMT]  INFO h22.H22HikariPool: H22 on disk cache:jdbc:h2:/tmp/h2cachetest/0/2020-10-22_18-15-54/cache;MVCC=TRUE;DB_CLOSE_ON_EXIT=FALSE
[22/10/20 18:15:54:870 GMT]  INFO hikari.HikariDataSource: HikariPool-1 - Starting...
[22/10/20 18:15:55:297 GMT]  INFO pool.PoolBase: HikariPool-1 - Driver does not support get/set network timeout for connections. (org.h2.jdbc.JdbcConnection.getNetworkTimeout()I)
[22/10/20 18:15:55:302 GMT]  INFO hikari.HikariDataSource: HikariPool-1 - Start completed.
[22/10/20 18:15:55:329 GMT]  INFO h22.H22Cache: Initing H22 cache db:1
[22/10/20 18:15:55:329 GMT]  INFO h22.H22Cache: Building new H22 Cache, db:1
[22/10/20 18:15:55:329 GMT]  INFO h22.H22HikariPool: H22 on disk cache:jdbc:h2:/tmp/h2cachetest/1/2020-10-22_18-15-55/cache;MVCC=TRUE;DB_CLOSE_ON_EXIT=FALSE
[22/10/20 18:15:55:330 GMT]  INFO hikari.HikariDataSource: HikariPool-2 - Starting...
[22/10/20 18:15:55:365 GMT]  INFO pool.PoolBase: HikariPool-2 - Driver does not support get/set network timeout for connections. (org.h2.jdbc.JdbcConnection.getNetworkTimeout()I)
[22/10/20 18:15:55:366 GMT]  INFO hikari.HikariDataSource: HikariPool-2 - Start completed.
[22/10/20 18:15:55:389 GMT]  INFO h22.H22Cache: Initing H22 cache db:0
[22/10/20 18:15:55:389 GMT]  INFO h22.H22Cache: Building new H22 Cache, db:0
