[28/10/20 18:54:46:243 GMT]  INFO util.Config: Initializing properties reader.
[28/10/20 18:54:46:248 GMT]  INFO util.Config: Loading dotCMS [dotmarketing-config.properties] Properties...
[28/10/20 18:54:46:304 GMT]  INFO util.Config: dotCMS Properties [dotmarketing-config.properties] Loaded
[28/10/20 18:54:46:362 GMT]  INFO util.Config: Loading dotCMS [dotcms-config-cluster.properties] Properties...
[28/10/20 18:54:46:363 GMT]  INFO util.Config: dotCMS Properties [dotcms-config-cluster.properties] Loaded
[28/10/20 18:54:46:365 GMT]  INFO util.Config: Assigned default refresh: 5 minutes.
[28/10/20 18:54:47:172 GMT]  INFO provider.CacheSizingUtil: Unable to use the Unsafe.class to size cache objects, falling back to serialization:java.lang.NullPointerException (every 60000 millis)
[28/10/20 18:54:47:225 GMT]  INFO h22.H22Cache: Initing H22 cache db:0
[28/10/20 18:54:47:225 GMT]  INFO h22.H22Cache: Building new H22 Cache, db:0
[28/10/20 18:54:47:241 GMT]  INFO h22.H22HikariPool: H22 on disk cache:jdbc:h2:/tmp/h2cachetest/0/2020-10-28_18-54-47/cache;MVCC=TRUE;DB_CLOSE_ON_EXIT=FALSE
[28/10/20 18:54:47:247 GMT]  INFO hikari.HikariDataSource: HikariPool-1 - Starting...
[28/10/20 18:54:47:714 GMT]  INFO pool.PoolBase: HikariPool-1 - Driver does not support get/set network timeout for connections. (org.h2.jdbc.JdbcConnection.getNetworkTimeout()I)
[28/10/20 18:54:47:721 GMT]  INFO hikari.HikariDataSource: HikariPool-1 - Start completed.
[28/10/20 18:54:47:752 GMT]  INFO h22.H22Cache: Initing H22 cache db:1
[28/10/20 18:54:47:752 GMT]  INFO h22.H22Cache: Building new H22 Cache, db:1
[28/10/20 18:54:47:753 GMT]  INFO h22.H22HikariPool: H22 on disk cache:jdbc:h2:/tmp/h2cachetest/1/2020-10-28_18-54-47/cache;MVCC=TRUE;DB_CLOSE_ON_EXIT=FALSE
[28/10/20 18:54:47:753 GMT]  INFO hikari.HikariDataSource: HikariPool-2 - Starting...
[28/10/20 18:54:47:789 GMT]  INFO pool.PoolBase: HikariPool-2 - Driver does not support get/set network timeout for connections. (org.h2.jdbc.JdbcConnection.getNetworkTimeout()I)
[28/10/20 18:54:47:790 GMT]  INFO hikari.HikariDataSource: HikariPool-2 - Start completed.
[28/10/20 18:54:47:810 GMT]  INFO h22.H22Cache: Initing H22 cache db:0
[28/10/20 18:54:47:810 GMT]  INFO h22.H22Cache: Building new H22 Cache, db:0
[28/10/20 18:54:47:812 GMT]  INFO h22.H22HikariPool: H22 on disk cache:jdbc:h2:/tmp/1603911287809-0/0/2020-10-28_18-54-47/cache;MVCC=TRUE;DB_CLOSE_ON_EXIT=FALSE
[28/10/20 18:54:47:813 GMT]  INFO hikari.HikariDataSource: HikariPool-3 - Starting...
[28/10/20 18:54:47:848 GMT]  INFO pool.PoolBase: HikariPool-3 - Driver does not support get/set network timeout for connections. (org.h2.jdbc.JdbcConnection.getNetworkTimeout()I)
[28/10/20 18:54:47:853 GMT]  INFO hikari.HikariDataSource: HikariPool-3 - Start completed.
[28/10/20 18:54:47:859 GMT]  INFO h22.H22Cache: Initing H22 cache db:1
[28/10/20 18:54:47:859 GMT]  INFO h22.H22Cache: Building new H22 Cache, db:1
[28/10/20 18:54:47:860 GMT]  INFO h22.H22HikariPool: H22 on disk cache:jdbc:h2:/tmp/1603911287809-0/1/2020-10-28_18-54-47/cache;MVCC=TRUE;DB_CLOSE_ON_EXIT=FALSE
[28/10/20 18:54:47:860 GMT]  INFO hikari.HikariDataSource: HikariPool-4 - Starting...
[28/10/20 18:54:47:898 GMT]  INFO pool.PoolBase: HikariPool-4 - Driver does not support get/set network timeout for connections. (org.h2.jdbc.JdbcConnection.getNetworkTimeout()I)
[28/10/20 18:54:47:902 GMT]  INFO hikari.HikariDataSource: HikariPool-4 - Start completed.
[28/10/20 18:54:47:976 GMT]  INFO h22.H22Cache: Building new H22 Cache, db:0
[28/10/20 18:54:47:976 GMT]  INFO h22.H22HikariPool: H22 on disk cache:jdbc:h2:/tmp/1603911287809-0/0/2020-10-28_18-54-47/cache;MVCC=TRUE;DB_CLOSE_ON_EXIT=FALSE
[28/10/20 18:54:47:977 GMT]  INFO hikari.HikariDataSource: HikariPool-5 - Starting...
[28/10/20 18:54:47:977 GMT]  INFO pool.PoolBase: HikariPool-5 - Driver does not support get/set network timeout for connections. (org.h2.jdbc.JdbcConnection.getNetworkTimeout()I)
[28/10/20 18:54:47:978 GMT]  INFO hikari.HikariDataSource: HikariPool-5 - Start completed.
[28/10/20 18:54:47:981 GMT]  INFO hikari.HikariDataSource: HikariPool-3 - Shutdown initiated...
[28/10/20 18:54:47:991 GMT]  INFO hikari.HikariDataSource: HikariPool-3 - Shutdown completed.
[28/10/20 18:54:47:991 GMT]  INFO h22.H22Cache: Building new H22 Cache, db:1
[28/10/20 18:54:47:991 GMT]  INFO h22.H22HikariPool: H22 on disk cache:jdbc:h2:/tmp/1603911287809-0/1/2020-10-28_18-54-47/cache;MVCC=TRUE;DB_CLOSE_ON_EXIT=FALSE
[28/10/20 18:54:47:991 GMT]  INFO hikari.HikariDataSource: HikariPool-6 - Starting...
[28/10/20 18:54:47:992 GMT]  INFO pool.PoolBase: HikariPool-6 - Driver does not support get/set network timeout for connections. (org.h2.jdbc.JdbcConnection.getNetworkTimeout()I)
[28/10/20 18:54:47:996 GMT]  INFO hikari.HikariDataSource: HikariPool-6 - Start completed.
[28/10/20 18:54:47:997 GMT]  INFO hikari.HikariDataSource: HikariPool-4 - Shutdown initiated...
[28/10/20 18:54:47:997 GMT]  INFO hikari.HikariDataSource: HikariPool-4 - Shutdown completed.
[28/10/20 18:54:47:998 GMT]  INFO h22.H22Cache: Initing H22 cache db:0
[28/10/20 18:54:47:998 GMT]  INFO h22.H22Cache: Building new H22 Cache, db:0
[28/10/20 18:54:47:998 GMT]  INFO h22.H22HikariPool: H22 on disk cache:jdbc:h2:/tmp/1603911287997-0/0/2020-10-28_18-54-47/cache;MVCC=TRUE;DB_CLOSE_ON_EXIT=FALSE
[28/10/20 18:54:47:999 GMT]  INFO hikari.HikariDataSource: HikariPool-7 - Starting...
[28/10/20 18:54:48:048 GMT]  INFO pool.PoolBase: HikariPool-7 - Driver does not support get/set network timeout for connections. (org.h2.jdbc.JdbcConnection.getNetworkTimeout()I)
[28/10/20 18:54:48:053 GMT]  INFO hikari.HikariDataSource: HikariPool-7 - Start completed.
[28/10/20 18:54:48:059 GMT]  INFO h22.H22Cache: Initing H22 cache db:1
[28/10/20 18:54:48:059 GMT]  INFO h22.H22Cache: Building new H22 Cache, db:1
[28/10/20 18:54:48:060 GMT]  INFO h22.H22HikariPool: H22 on disk cache:jdbc:h2:/tmp/1603911287997-0/1/2020-10-28_18-54-48/cache;MVCC=TRUE;DB_CLOSE_ON_EXIT=FALSE
[28/10/20 18:54:48:060 GMT]  INFO hikari.HikariDataSource: HikariPool-8 - Starting...
[28/10/20 18:54:48:112 GMT]  INFO pool.PoolBase: HikariPool-8 - Driver does not support get/set network timeout for connections. (org.h2.jdbc.JdbcConnection.getNetworkTimeout()I)
[28/10/20 18:54:48:113 GMT]  INFO hikari.HikariDataSource: HikariPool-8 - Start completed.
[28/10/20 18:54:48:131 GMT]  INFO h22.H22Cache: Building new H22 Cache, db:0
[28/10/20 18:54:48:149 GMT]  INFO h22.H22HikariPool: H22 on disk cache:jdbc:h2:/tmp/1603911287997-0/0/2020-10-28_18-54-48/cache;MVCC=TRUE;DB_CLOSE_ON_EXIT=FALSE
[28/10/20 18:54:48:149 GMT]  INFO hikari.HikariDataSource: HikariPool-9 - Starting...
[28/10/20 18:54:48:191 GMT]  INFO pool.PoolBase: HikariPool-9 - Driver does not support get/set network timeout for connections. (org.h2.jdbc.JdbcConnection.getNetworkTimeout()I)
[28/10/20 18:54:48:200 GMT]  INFO hikari.HikariDataSource: HikariPool-9 - Start completed.
[28/10/20 18:54:48:205 GMT]  INFO hikari.HikariDataSource: HikariPool-7 - Shutdown initiated...
[28/10/20 18:54:48:232 GMT]  INFO hikari.HikariDataSource: HikariPool-7 - Shutdown completed.
[28/10/20 18:54:48:232 GMT]  INFO h22.H22Cache: Building new H22 Cache, db:1
[28/10/20 18:54:48:232 GMT]  INFO h22.H22HikariPool: H22 on disk cache:jdbc:h2:/tmp/1603911287997-0/1/2020-10-28_18-54-48/cache;MVCC=TRUE;DB_CLOSE_ON_EXIT=FALSE
[28/10/20 18:54:48:232 GMT]  INFO hikari.HikariDataSource: HikariPool-10 - Starting...
[28/10/20 18:54:48:233 GMT]  INFO pool.PoolBase: HikariPool-10 - Driver does not support get/set network timeout for connections. (org.h2.jdbc.JdbcConnection.getNetworkTimeout()I)
[28/10/20 18:54:48:233 GMT]  INFO hikari.HikariDataSource: HikariPool-10 - Start completed.
[28/10/20 18:54:48:234 GMT]  INFO hikari.HikariDataSource: HikariPool-8 - Shutdown initiated...
[28/10/20 18:54:48:235 GMT]  INFO hikari.HikariDataSource: HikariPool-8 - Shutdown completed.
[28/10/20 18:54:48:236 GMT]  INFO h22.H22Cache: Initing H22 cache db:0
[28/10/20 18:54:48:236 GMT]  INFO h22.H22Cache: Building new H22 Cache, db:0
[28/10/20 18:54:48:237 GMT]  INFO h22.H22HikariPool: H22 on disk cache:jdbc:h2:/tmp/1603911288236-0/0/2020-10-28_18-54-48/cache;MVCC=TRUE;DB_CLOSE_ON_EXIT=FALSE
[28/10/20 18:54:48:237 GMT]  INFO hikari.HikariDataSource: HikariPool-11 - Starting...
[28/10/20 18:54:48:272 GMT]  INFO pool.PoolBase: HikariPool-11 - Driver does not support get/set network timeout for connections. (org.h2.jdbc.JdbcConnection.getNetworkTimeout()I)
[28/10/20 18:54:48:273 GMT]  INFO hikari.HikariDataSource: HikariPool-11 - Start completed.
[28/10/20 18:54:48:280 GMT]  INFO h22.H22Cache: Initing H22 cache db:1
[28/10/20 18:54:48:280 GMT]  INFO h22.H22Cache: Building new H22 Cache, db:1
[28/10/20 18:54:48:281 GMT]  INFO h22.H22HikariPool: H22 on disk cache:jdbc:h2:/tmp/1603911288236-0/1/2020-10-28_18-54-48/cache;MVCC=TRUE;DB_CLOSE_ON_EXIT=FALSE
[28/10/20 18:54:48:282 GMT]  INFO hikari.HikariDataSource: HikariPool-12 - Starting...
[28/10/20 18:54:48:323 GMT]  INFO pool.PoolBase: HikariPool-12 - Driver does not support get/set network timeout for connections. (org.h2.jdbc.JdbcConnection.getNetworkTimeout()I)
[28/10/20 18:54:48:326 GMT]  INFO hikari.HikariDataSource: HikariPool-12 - Start completed.
[28/10/20 18:54:48:370 GMT]  INFO h22.H22Cache: Building new H22 Cache, db:0
[28/10/20 18:54:48:375 GMT]  INFO h22.H22HikariPool: H22 on disk cache:jdbc:h2:/tmp/1603911288236-0/0/2020-10-28_18-54-48/cache;MVCC=TRUE;DB_CLOSE_ON_EXIT=FALSE
[28/10/20 18:54:48:375 GMT]  INFO hikari.HikariDataSource: HikariPool-13 - Starting...
[28/10/20 18:54:48:376 GMT]  INFO pool.PoolBase: HikariPool-13 - Driver does not support get/set network timeout for connections. (org.h2.jdbc.JdbcConnection.getNetworkTimeout()I)
[28/10/20 18:54:48:378 GMT]  INFO hikari.HikariDataSource: HikariPool-13 - Start completed.
[28/10/20 18:54:48:382 GMT]  INFO hikari.HikariDataSource: HikariPool-11 - Shutdown initiated...
